71, 406, 1067, 0 
72, 418, 1063, 0 
72, 409, 1066, 0 
72, 413, 1030, 0 
71, 419, 1092, 0 
71, 410, 1082, 0 
72, 403, 1059, 0 
71, 402, 1093, 0 
71, 404, 1039, 0 
71, 402, 1007, 0 
72, 406, 1030, 0 
72, 407, 1088, 0 
72, 400, 1088, 0 
71, 412, 1059, 0 
71, 414, 1053, 0 
71, 406, 1055, 0 
72, 402, 1059, 0 
71, 409, 1046, 0 
71, 408, 1023, 0 
71, 404, 1015, 0 
72, 418, 1065, 0 
71, 416, 1063, 0 
72, 412, 1072, 0 
71, 409, 1006, 0 
72, 414, 1051, 0 
71, 408, 1030, 0 
72, 405, 1019, 0 
72, 415, 1056, 0 
71, 404, 1091, 0 
71, 413, 1035, 0 
72, 405, 1083, 0 
72, 419, 1098, 0 
71, 416, 1081, 0 
71, 410, 1008, 0 
71, 403, 1039, 0 
72, 418, 1082, 0 
71, 407, 1092, 0 
71, 418, 1059, 0 
72, 418, 1063, 0 
72, 406, 1071, 0 
71, 406, 1086, 0 
72, 417, 1054, 0 
72, 415, 1014, 0 
72, 413, 1096, 0 
72, 406, 1010, 0 
72, 410, 1013, 0 
71, 407, 1017, 0 
71, 405, 1008, 0 
72, 414, 1038, 0 
71, 416, 1006, 0 
71, 419, 1027, 0 
72, 414, 1028, 0 
72, 411, 1021, 0 
71, 402, 1009, 0 
72, 403, 1064, 0 
72, 403, 1072, 0 
71, 416, 1056, 0 
72, 415, 1072, 0 
72, 415, 1004, 0 
72, 410, 1040, 0 
71, 418, 1077, 0 
72, 406, 1013, 0 
71, 416, 1027, 0 
71, 411, 1013, 0 
72, 410, 1008, 0 
72, 418, 1076, 0 
71, 401, 1026, 0 
71, 416, 1092, 0 
72, 401, 1094, 0 
71, 413, 1093, 0 
63, 452, 1144, 1 
63, 450, 1174, 1 
63, 468, 1187, 1 
63, 450, 1155, 1 
62, 452, 1163, 1 
62, 468, 1163, 1 
62, 464, 1107, 1 
63, 468, 1161, 1 
64, 454, 1179, 1 
62, 459, 1122, 1 
64, 450, 1150, 1 
62, 450, 1108, 1 
63, 456, 1160, 1 
63, 463, 1123, 1 
62, 451, 1175, 1 
63, 469, 1179, 1 
64, 457, 1118, 1 
64, 455, 1196, 1 
63, 458, 1137, 1 
64, 456, 1168, 1 
63, 469, 1123, 1 
63, 453, 1193, 1 
64, 456, 1181, 1 
63, 456, 1161, 1 
63, 454, 1174, 1 
64, 451, 1140, 1 
63, 454, 1131, 1 
64, 463, 1167, 1 
62, 465, 1195, 1 
64, 450, 1139, 1 
63, 466, 1183, 1 
63, 467, 1197, 1 
62, 467, 1126, 1 
62, 466, 1158, 1 
63, 457, 1108, 1 
63, 464, 1186, 1 
62, 462, 1109, 1 
63, 453, 1196, 1 
62, 459, 1106, 1 
64, 463, 1160, 1 
63, 467, 1172, 1 
64, 464, 1129, 1 
63, 453, 1101, 1 
62, 465, 1117, 1 
62, 455, 1153, 1 
62, 457, 1116, 1 
62, 467, 1165, 1 
64, 466, 1195, 1 
63, 467, 1172, 1 
64, 452, 1143, 1 
64, 453, 1178, 1 
64, 458, 1197, 1 
64, 457, 1109, 1 
64, 467, 1168, 1 
64, 462, 1189, 1 
63, 459, 1180, 1 
62, 456, 1116, 1 
64, 450, 1169, 1 
63, 453, 1184, 1 
64, 461, 1170, 1 
64, 469, 1121, 1 
64, 452, 1168, 1 
64, 453, 1159, 1 
64, 450, 1126, 1 
63, 453, 1134, 1 
64, 453, 1146, 1 
64, 455, 1131, 1 
64, 458, 1102, 1 
63, 468, 1120, 1 
63, 457, 1185, 1 
